MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,...33
10,16,3,DL,N363NB,870,14747,SEA,"Seattle, WA",14057,PDX,"Portland, OR",0735,0731,0,0,0700-0759,0837,0823,0,0800-0859,0,,62,52,129,1,,,,,,
10,13,7,HA,N490HA,144,12982,LIH,"Lihue, HI",12173,HNL,"Honolulu, HI",0829,0829,0,0,0800-0859,0905,0906,1,0900-0959,0,,36,37,102,1,,,,,,
10,18,5,WN,N550WN,1944,11259,DAL,"Dallas, TX",12953,LGA,"New York, NY",1515,1801,166,1,1500-1559,1940,2216,156,1900-1959,0,,205,195,1381,6,155,0,0,0,1,
10,28,1,UA,N27205,1538,11618,EWR,"Newark, NJ",14027,PBI,"West Palm Beach/Palm Beach, FL",1415,1425,10,0,1400-1459,1709,1723,14,1700-1759,0,,174,178,1023,5,,,,,,
10,7,1,WN,N7718B,481,14679,SAN,"San Diego, CA",12889,LAS,"Las Vegas, NV",2025,2022,0,0,2000-2059,2140,2130,0,2100-2159,0,,75,68,258,2,,,,,,
10,7,1,WN,N278WN,904,15016,STL,"St. Louis, MO",13495,MSY,"New Orleans, LA",1905,1902,0,0,1900-1959,2050,2039,0,2000-2059,0,,105,97,604,3,,,,,,
10,4,5,YV,N904FJ,5931,11995,GSO,"Greensboro/High Point, NC",11298,DFW,"Dallas/Fort Worth, TX",1740,1731,0,0,1700-1759,1944,1915,0,1900-1959,0,,184,164,999,4,,,,,,
10,8,2,OH,N601EN,5218,11057,CLT,"Charlotte, NC",12264,IAD,"Washington, DC",1755,1749,0,0,1700-1759,1919,1955,36,1900-1959,0,,84,126,322,2,0,0,36,0,0,
10,30,3,WN,N7883A,626,14679,SAN,"San Diego, CA",12889,LAS,"Las Vegas, NV",1715,1713,0,0,1700-1759,1825,1820,0,1800-1859,0,,70,67,258,2,,,,,,
10,30,3,MQ,N668HH,3422,15412,TYS,"Knoxville, TN",13303,MIA,"Miami, FL",1836,1834,0,0,1800-1859,2044,2040,0,2000-2059,0,,128,126,724,3,,,,,,
10,11,5,DL,N314DN,1206,12892,LAX,"Los Angeles, CA",10397,ATL,"Atlanta, GA",1346,1354,8,0,1300-1359,2101,2051,0,2100-2159,0,,255,237,1947,8,,,,,,
10,12,6,AA,N906NN,2667,14492,RDU,"Raleigh/Durham, NC",13930,ORD,"Chicago, IL",1118,1114,0,0,1100-1159,1241,1222,0,1200-1259,0,,143,128,646,3,,,,,,
10,29,2,WN,N262WN,5662,12339,IND,"Indianapolis, IN",13204,MCO,"Orlando, FL",0510,0506,0,0,0001-0559,0730,0720,0,0700-0759,0,,140,134,829,4,,,,,,
10,19,6,UA,N839UA,1267,13303,MIA,"Miami, FL",12266,IAH,"Houston, TX",1446,1442,0,0,1400-1459,1636,1615,0,1600-1659,0,,170,153,964,4,,,,,,
10,16,3,OO,N258SY,3810,12156,HLN,"Helena, MT",14869,SLC,"Salt Lake City, UT",0615,0611,0,0,0600-0659,0742,0726,0,0700-0759,0,,87,75,402,2,,,,,,
10,28,1,OO,N776SK,3026,11042,CLE,"Cleveland, OH",13930,ORD,"Chicago, IL",1815,1805,0,0,1800-1859,1854,1825,0,1800-1859,0,,99,80,315,2,,,,,,
10,31,4,OO,N189SY,3419,14908,SNA,"Santa Ana, CA",14831,SJC,"San Jose, CA",2005,1947,0,0,2000-2059,2125,2112,0,2100-2159,0,,80,85,342,2,,,,,,
10,2,3,YV,N89315,6203,12266,IAH,"Houston, TX",13256,MFE,"Mission/McAllen/Edinburg, TX",1000,0950,0,0,1000-1059,1118,1100,0,1100-1159,0,,78,70,316,2,,,,,,
10,1,2,OO,N862AS,5644,14698,SBP,"San Luis Obispo, CA",12892,LAX,"Los Angeles, CA",1914,2039,85,1,1900-1959,2026,2139,73,2000-2059,0,,72,60,156,1,73,0,0,0,0,
10,19,6,DL,N962DL,2084,15016,STL,"St. Louis, MO",10397,ATL,"Atlanta, GA",1610,1644,34,1,1600-1659,1848,1917,29,1800-1859,0,,98,93,484,2,0,0,29,0,0,
10,25,5,MQ,N244NN,3505,11298,DFW,"Dallas/Fort Worth, TX",11140,CRP,"Corpus Christi, TX",2230,2321,51,1,2200-2259,2356,0049,53,2300-2359,0,,86,88,354,2,51,0,2,0,0,
10,8,2,UA,N62892,1180,11618,EWR,"Newark, NJ",13930,ORD,"Chicago, IL",1659,1700,1,0,1600-1659,1833,1821,0,1800-1859,0,,154,141,719,3,,,,,,
10,22,2,AA,N207UW,1476,14107,PHX,"Phoenix, AZ",14908,SNA,"Santa Ana, CA",1353,1345,0,0,1300-1359,1515,1456,0,1500-1559,0,,82,71,338,2,,,,,,
